idade,estado,escolaridade,renda_mensal,tempo_emprego_anos,score_credito,valor_solicitado,prazo_meses,finalidade,dividas_ativas,inadimplente
20,RS,Ensino Superior,13893.48,12,651,6914.88,18,Saúde,1,0
57,DF,Ensino Superior,3630.79,20,556,16904.13,24,Viagem,1,1
51,RO,Ensino Superior,4462.29,7,627,29487.12,12,Viagem,2,1
54,RS,Ensino Superior,2885.22,20,687,27863.12,36,Outros,1,1
26,RN,Ensino Superior,2290.6,23,588,12817.67,24,Educação,2,1
72,PR,Ensino Superior,5144.86,25,671,15836.45,60,Educação,3,0
56,SP,Ensino Superior,5825.82,23,601,13040.07,18,Reforma,0,0
37,RJ,Ensino Superior,3270.5,5,695,8244.43,18,Outros,2,1
50,PI,Ensino Superior,10036.25,21,585,13260.52,36,Outros,3,1
64,DF,Ensino Médio,11924.57,9,680,10697.09,24,Educação,0,0
55,MT,Ensino Médio,4234.41,25,724,25805.92,12,Veículo,0,0
70,RR,Ensino Superior,2703.57,11,694,35348.37,36,Educação,2,0
72,PI,Ensino Superior,1080.94,19,560,9082.47,24,Viagem,0,1
18,MA,Ensino Superior,7285.15,7,587,25559.64,12,Saúde,1,0
54,RO,Ensino Superior,2552.87,17,495,47496.05,18,Reforma,1,1
48,SE,Ensino Superior,5027.1,16,646,5408.92,18,Outros,1,0
66,PB,Ensino Superior,1921.16,17,589,7743.4,6,Reforma,0,1
34,MG,Ensino Fundamental,3960.72,25,739,2744.22,24,Reforma,2,0
63,AM,Ensino Médio,3713.04,20,723,13137.17,36,Reforma,0,0
20,RJ,Ensino Médio,4703.08,4,701,15901.35,24,Educação,5,0
64,TO,Pós-graduação,3003.82,25,663,7781.18,36,Reforma,0,0
36,PI,Ensino Médio,7210.93,9,695,10049.74,36,Veículo,0,0
59,SC,Ensino Superior,4053.29,11,698,9544.88,48,Veículo,0,0
38,PI,Ensino Superior,7139.58,16,635,7692.81,24,Outros,1,0
75,MA,Ensino Médio,961.1,6,683,10181.76,60,Outros,0,0
40,MS,Ensino Superior,2263.87,23,672,18496.84,48,Veículo,0,0
51,RS,Ensino Fundamental,4031.01,25,625,7821.27,18,Reforma,0,0
68,RO,Ensino Fundamental,4734.8,17,593,6753.21,36,Reforma,0,0
60,RO,Ensino Médio,3906.38,24,646,4882.78,12,Educação,3,0
35,RR,Ensino Médio,12502.89,17,706,30419.13,24,Saúde,3,0
59,PE,Ensino Superior,17084.81,24,703,20542.42,24,Saúde,1,0
45,SC,Ensino Médio,2985.76,1,662,6195.82,48,Viagem,1,1
36,AC,Ensino Superior,3886.26,5,442,7691.27,12,Reforma,0,1
27,AL,Ensino Médio,3750.67,20,633,13874.77,24,Viagem,1,0
34,SP,Ensino Médio,7238.72,11,739,13518.32,60,Outros,0,0
61, PI ,Ensino Superior,5197.18,1,685,27851.69,24,Reforma,0,1
30,DF,Ensino Superior,2944.26,17,612,8097.09,48,Reforma,0,1
22,TO,Ensino Médio,4278.76,4,690,6405.46,12,Outros,4,1
42,DF,Ensino Superior,2854.83,11,540,18053.4,12,Saúde,1,0
44,MG,Pós-graduação,2297.46,23,612,12043.96,36,Reforma,3,1
43,SC,Ensino Médio,3890.37,19,722,13077.18,36,Viagem,1,0
72,AP,Pós-graduação,12885.15,10,591,13034.8,60,Veículo,6,1
28,AP,Pós-graduação,4038.96,19,701,13812.91,36,Veículo,0,0
49,AP,Ensino Médio,4439.3,2,708,9503.44,36,Outros,3,0
19,MT,Ensino Superior,3672.76,7,596,14138.32,36,Educação,2,0
64,PR,Ensino Médio,5659.99,21,683,8823.69,60,Viagem,0,1
32,AP,Ensino Médio,2381.9,20,757,9415.2,36,Viagem,1,0
41,  CE ,Ensino Médio,8764.58,11,816,9913.75,36,Saúde,0,1
72,SP,Ensino Médio,3862.42,9,803,9021.12,12,Saúde,1,0
22,PI,Ensino Fundamental,6191.43,1,676,15089.45,60,Reforma,2,1
37,AL,Ensino Superior,6075.19,19,664,12483.0,24,Educação,2,0
43,PI,Ensino Médio,2569.25,21,605,26468.15,18,Reforma,0,1
50,AM,Ensino Superior,5400.77,8,627,11322.45,18,Saúde,3,1
75,PA,Ensino Superior,3370.84,16,610,21388.4,6,Saúde,4,1
49,RO,Pós-graduação,5140.79,3,649,50000.0,18,Reforma,0,1
55,RS,Ensino Médio,11826.57,17,719,7031.4,36,Viagem,0,0
36,MG,Ensino Superior,1397.34,18,694,19712.69,12,Saúde,2,1
50,MA,Pós-graduação,2178.16,25,698,3185.81,24,Educação,2,0
50,PE,Ensino Superior,2010.82,20,686,11953.71,24,Saúde,1,1
44,MS,Ensino Fundamental,1922.67,10,565,38541.08,60,Outros,4,0
28,SE,Ensino Médio,2298.76,11,748,14984.54,6,Veículo,6,1
60,MS,Ensino Superior,5415.09,18,610,25257.19,36,Outros,1,0
19,RN,Ensino Médio,3471.88,13,565,12558.41,24,Saúde,0,1
47,RR,Ensino Superior,5920.93,7,647,18176.55,12,Outros,3,1
66,MG,Ensino Superior,952.1,11,683,34508.28,36,Outros,2,1
28,TO,Ensino Superior,4012.08,7,743,25314.11,18,Viagem,0,1
44,AM,Ensino Superior,3729.34,22,797,14101.13,6,Viagem,2,0
67,AC,Pós-graduação,6573.03,23,850,7339.3,36,Saúde,5,0
41,BA,Ensino Superior,5252.08,18,631,6513.2,18,Reforma,2,0
72,RJ,Ensino Médio,5320.38,11,590,28410.71,24,Veículo,6,0
66,PA,Pós-graduação,1623.55,20,648,6580.74,36,Reforma,2,0
52,MS,Ensino Médio,4158.16,4,719,7211.06,36,Educação,6,1
47,PE,Ensino Superior,8985.67,11,809,27456.89,24,Viagem,1,0
51,BA,Ensino Médio,2062.89,23,605,7247.45,24,Educação,2,0
75,BA,Ensino Superior,5655.29,5,678,23049.42,36,Reforma,2,1
65,RJ,Ensino Superior,11673.99,13,628,9881.51,36,Veículo,0,0
46,BA,Ensino Médio,3057.72,11,616,15000.14,12,Veículo,3,0
67,ES,Ensino Médio,4906.31,16,719,9723.41,24,Veículo,2,0
60,RS,Ensino Médio,2926.96,9,608,17794.9,24,Reforma,2,1
30,PA,Ensino Superior,9241.94,22,607,10600.08,24,Reforma,1,0
63,RJ,Ensino Superior,4144.62,24,750,11236.35,36,Outros,0,0
20,MS,Ensino Superior,3249.91,12,817,18792.67,18,Educação,5,0
27,BA,Ensino Médio,1600.47,17,657,5582.41,18,Reforma,1,0
18,MS,Ensino Superior,7670.67,1,600,6490.98,24,Educação,2,0
50,SE,Ensino Médio,6336.7,18,579,17090.12,36,Reforma,0,0
73,ES,Ensino Fundamental,1874.23,11,759,11776.66,48,Saúde,4,0
29,MG,Ensino Superior,3425.83,24,722,8010.36,6,Veículo,3,0
67,CE,Pós-graduação,6448.34,23,670,8382.06,48,Outros,0,0
25,RN,Ensino Fundamental,2560.5,23,628,19177.65,36,Educação,2,0
51,RO,Ensino Superior,5624.34,1,682,10333.52,60,Outros,3,0
73,MT,Ensino Médio,4716.11,15,579,23487.83,18,Veículo,0,1
37,CE,Pós-graduação,5379.47,8,680,14116.07,6,Outros,0,0
22,DF,Ensino Superior,5859.23,15,631,15704.85,12,Outros,3,0
21,PB,Ensino Médio,3022.96,17,757,9241.29,18,Saúde,5,1
73,RO,Ensino Médio,3634.91,4,685,10499.36,36,Veículo,1,0
58,RR,Pós-graduação,2339.99,10,659,13910.18,18,Outros,2,1
68,RO,Ensino Superior,10548.22,20,661,5339.99,18,Veículo,0,0
60,PE,Ensino Médio,3661.15,1,588,9739.55,48,Educação,0,1
44,RR,Ensino Médio,3499.82,3,584,5835.6,6,Veículo,0,0
40,MG,Ensino Superior,5675.01,1,737,12597.56,12,Outros,0,0
23,SC,Ensino Médio,5822.93,9,704,50000.0,12,Outros,1,1
18,RS,Ensino Superior,2741.26,12,655,11783.67,60,Educação,4,1
55,RS,Ensino Médio,6963.97,24,622,24517.17,18,Veículo,4,1
36,SP,Ensino Médio,8502.2,18,623,14229.97,12,Reforma,0,0
64,RJ,Ensino Médio,1935.69,23,504,4791.26,60,Outros,0,1
53,SC,Ensino Médio,4933.1,15,439,17857.43,48,Outros,4,1
44,AL,Ensino Médio,11225.62,2,697,15837.03,6,Outros,3,0
62,CE,Ensino Médio,7037.29,21,526,27586.05,60,Veículo,2,1
66,SP,Ensino Médio,3661.87,2,551,6289.5,36,Saúde,1,0
37,RR,Ensino Médio,2948.76,11,582,21040.16,36,Saúde,1,0
42,MA,Ensino Superior,2223.12,1,590,9692.95,36,Outros,4,1
19,MT,Ensino Superior,2020.23,4,641,10564.69,36,Veículo,5,1
21,BA,Ensino Médio,6657.62,3,501,12700.5,24,Outros,1,1
48,CE,Ensino Médio,2395.44,3,476,7369.74,36,Veículo,5,0
48,SE,Ensino Superior,2227.9,17,581,9818.98,36,Reforma,0,0
74,AP,Pós-graduação,2662.99,19,701,6207.22,60,Reforma,0,0
74,DF,Ensino Médio,10533.58,2,649,8765.88,24,Viagem,0,0
63,CE,Ensino Superior,3722.97,4,572,13180.32,12,Educação,3,1
35,ES,Ensino Superior,2876.83,5,781,10476.69,36,Reforma,0,0
70,SE,Ensino Fundamental,12384.75,23,782,28472.4,48,Educação,1,0
49,AP,Ensino Superior,3485.37,1,709,18497.75,36,Educação,0,1
19,SE,Ensino Médio,2235.69,6,544,11764.27,36,Outros,4,1
42,MT,Ensino Superior,2192.3,16,734,14043.21,36,Saúde,5,0
69,RR,Ensino Superior,2517.08,18,518,8647.72,60,Reforma,3,0
42,SE,Ensino Médio,1938.43,9,804,44553.12,36,Saúde,7,1
23,MG,Ensino Médio,4941.88,12,617,5211.63,18,Outros,5,0
52,PR,Ensino Médio,3590.93,8,612,16642.4,24,Veículo,1,1
69,MS,Ensino Médio,4172.72,7,720,29624.77,48,Educação,2,1
72,TO,Ensino Médio,2421.31,8,614,6868.17,12,Saúde,3,1
52,PE,Ensino Superior,3397.66,16,586,36322.3,36,Veículo,0,0
45,PE,Ensino Superior,13015.98,5,669,7266.53,12,Viagem,1,0
69,PB,Ensino Superior,2856.86,23,690,8100.6,18,Outros,2,1
43,AM,Pós-graduação,3189.39,14,674,4654.17,36,Outros,2,0
51,SC,Ensino Superior,2448.41,23,783,4778.69,12,Reforma,6,0
43,AM,Ensino Superior,3892.62,17,674,4234.29,36,Viagem,0,0
31,MT,Ensino Superior,2740.49,12,691,7520.85,24,Educação,5,0
74,PB,Ensino Superior,4995.31,18,584,16090.58,18,Veículo,3,1
61,DF,Ensino Médio,5167.21,7,611,15761.06,60,Reforma,4,1
49,AM,Ensino Superior,3295.44,4,850,7607.8,24,Reforma,3,0
46,SE,Ensino Superior,3729.04,23,695,4899.64,60,Educação,2,0
54,ES,Pós-graduação,2012.41,2,640,25479.33,12,Reforma,3,1
49,RO,Ensino Superior,13485.95,21,615,3982.89,36,Reforma,3,0
69,RS,Ensino Médio,3179.57,7,623,15953.09,36,Saúde,4,0
20,RO,Pós-graduação,24103.51,15,612,5319.71,6,Educação,0,0
75,CE,Ensino Fundamental,1901.9,23,566,15763.89,12,Educação,0,0
74,MG,Ensino Superior,3963.05,20,646,24573.24,48,Saúde,0,0
43,GO,Ensino Superior,4920.56,15,702,11185.48,18,Outros,1,1
68,RR,Pós-graduação,5918.72,13,591,10948.78,36,Saúde,0,0
26,ES,Ensino Superior,2937.44,23,614,8607.48,36,Reforma,0,0
68,RO,Ensino Superior,1690.49,1,542,4435.64,6,Outros,0,1
43,SC,Pós-graduação,6753.17,9,627,13380.52,36,Veículo,2,0
71,CE,Ensino Médio,3689.37,10,664,7827.0,24,Saúde,1,0
68,AM,Ensino Fundamental,1465.81,14,648,28455.8,48,Outros,0,0
70,AC,Ensino Superior,2002.17,17,737,6403.09,48,Outros,0,0
66,RR,Ensino Superior,8191.6,23,593,23033.63,48,Outros,0,0
30,MA,Ensino Fundamental,1929.77,22,683,9420.89,18,Outros,1,0
69,CE,Pós-graduação,4421.28,11,756,15106.74,12,Veículo,1,0
19,AL,Ensino Superior,2486.39,10,655,50000.0,36,Veículo,0,1
50,GO,Ensino Superior,4721.46,9,815,14867.11,36,Reforma,1,0
72,GO,Ensino Médio,2457.04,8,587,10964.17,6,Viagem,6,1
28,CE,Ensino Fundamental,5435.85,2,833,14380.13,24,Veículo,1,0
26,CE,Ensino Superior,3567.16,24,628,5341.47,36,Reforma,2,0
56,TO,Ensino Médio,3563.39,15,606,10384.67,60,Veículo,4,1
56,MA,Ensino Médio,5126.18,13,694,34268.33,48,Educação,0,0
63,AP,Ensino Médio,11411.18,6,480,6355.13,48,Veículo,0,1
21,SE,Ensino Superior,2423.39,6,570,13693.75,18,Veículo,0,0
42,MT,Ensino Superior,5678.05,14,487,8949.92,36,Outros,0,0
60,RN,Ensino Médio,1248.16,19,641,5397.67,36,Saúde,5,1
37,RR,Ensino Superior,5108.99,9,615,9861.05,24,Veículo,0,0
64,MG,Ensino Médio,2276.14,18,523,19760.27,18,Outros,1,1
59,RN,Ensino Fundamental,5477.01,19,687,11240.32,36,Veículo,0,0
60,CE,Ensino Fundamental,1696.36,17,816,19241.52,12,Veículo,3,1
60,AL,Ensino Médio,5257.53,16,658,13433.36,48,Viagem,1,1
